datetime,SLC,rocket,mission,year
2022-04-01 16:24:16,40,Falcon 9 Block 5 , Transporter 4,2022
2022-04-08 15:17:12,39A,Falcon 9 Block 5 , F9-147 Axiom Mission 1 (Ax-1),2022
2022-04-21 17:51:40,40,Falcon 9 Block 5 , Starlink Group 4-14,2022
2022-04-27 07:52:55,39A,Falcon 9 Block 5 , SpaceX Crew-4,2022
2022-04-29 21:27:10,40,Falcon 9 Block 5 , Starlink Group 4-16,2022
2022-05-06 09:42:00,39A,Falcon 9 Block 5 , Starlink Group 4-17,2022
2022-05-14 20:40:50,40,Falcon 9 Block 5 , Starlink Group 4-15,2022
2022-05-18 10:59:40,39A,Falcon 9 Block 5 , Starlink Group 4-18,2022
2022-05-19 22:54:47,41,Atlas V N22 , AV-082 Starliner OFT-2,2022
2022-05-25 18:35:00,40,Falcon 9 Block 5 , Transporter 5,2022
2022-06-08 21:04:00,40,Falcon 9 Block 5 , F9-157 Nilesat-301,2022
2022-06-12 17:43:00,46,Rocket 3.3 , LV0010,2022
2022-06-17 16:09:20,39A,Falcon 9 Block 5 , Starlink Group 4-19,2022
2022-06-19 04:27:36,40,Falcon 9 Block 5 , F9-160,2022
2022-06-29 21:04:00,40,Falcon 9 Block 5 , F9-161,2022
2022-07-01 23:15:00,41,Atlas V 541 , AV-094,2022
2022-07-07 13:11:10,40,Falcon 9 Block 5 , Starlink Group 4-21,2022
2022-07-15 00:44:22,39A,Falcon 9 Block 5 , F9-164,2022
2022-07-17 14:20:00,40,Falcon 9 Block 5 , Starlink Group 4-22,2022
2022-07-24 13:38:20,39A,Falcon 9 Block 5 , Starlink Group 4-25,2022
2022-08-04 10:29:00,41,Atlas V 421 , AV-097,2022
2022-08-04 23:08:48,40,Falcon 9 Block 5 , F9-168,2022
2022-08-10 02:14:40,39A,Falcon 9 Block 5 , Starlink Group 4-26,2022
2022-08-19 19:21:20,40,Falcon 9 Block 5 , Starlink Group 4-27,2022
2022-08-28 03:41:20,40,Falcon 9 Block 5 , Starlink Group 4-23,2022
2022-09-05 02:09:40,40,Falcon 9 Block 5 , Starlink Group 4-20,2022
2022-09-11 01:20:00,39A,Falcon 9 Block 5 , Starlink Group 4-2,2022
2022-09-19 00:18:40,40,Falcon 9 Block 5 , Starlink Group 4-34,2022
2022-09-24 23:32:10,40,Falcon 9 Block 5 , Starlink Group 4-35,2022
2022-10-04 21:36:00,41,Atlas V 531 , AV-099,2022
2022-10-05 16:00:57,39A,Falcon 9 Block 5 , F9-178,2022
2022-10-08 23:05:00,40,Falcon 9 Block 5 , F9-180,2022
2022-10-15 05:22:00,40,Falcon 9 Block 5 , F9-181,2022
2022-10-20 14:50:40,40,Falcon 9 Block 5 , Starlink Group 4-36,2022
2022-11-01 13:41:00,39A,Falcon Heavy , FH-004,2022
2022-11-03 05:22:00,40,Falcon 9 Block 5 , F9-184,2022
2022-11-12 16:06:00,40,Falcon 9 Block 5 , F9-185,2022
2022-11-16 06:47:44,39B,SLS Block 1 , Artemis 1 ,2022
2022-11-23 02:57:00,40,Falcon 9 Block 5 , F9-186,2022
2022-11-26 19:20:43,39A,Falcon 9 Block 5 , F9-187,2022
